freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.434e+01,3.065e+00,3.257e+00,4.067e+01
1.5,2.673e+01,1.083e+01,1.462e+01,5.218e+01
3.1,1.837e+01,1.081e+01,1.655e+01,4.573e+01
4.6,2.408e+02,1.035e+01,1.533e+01,2.665e+02
6.2,8.183e+02,9.980e+00,1.629e+01,8.446e+02
7.7,1.263e+03,1.010e+01,1.704e+01,1.290e+03
9.3,1.643e+03,1.090e+01,1.680e+01,1.670e+03
10.8,1.994e+03,9.930e+00,1.630e+01,2.020e+03
12.4,2.359e+03,9.931e+00,1.534e+01,2.384e+03
13.9,2.769e+03,1.066e+01,1.457e+01,2.794e+03
15.5,3.341e+03,9.989e+00,1.463e+01,3.366e+03
17.0,3.485e+03,1.249e+01,2.524e+01,3.523e+03
18.6,2.980e+03,1.179e+01,2.215e+01,3.014e+03
20.1,3.142e+03,9.618e+00,1.553e+01,3.167e+03
21.7,3.426e+03,9.402e+00,1.451e+01,3.450e+03
23.2,3.731e+03,9.587e+00,1.511e+01,3.755e+03
24.8,4.005e+03,9.704e+00,2.142e+01,4.036e+03
26.3,3.491e+03,1.153e+01,3.156e+01,3.534e+03
27.9,3.536e+03,2.106e+01,3.196e+01,3.589e+03
29.4,3.892e+03,7.384e+01,6.122e+01,4.027e+03
31.0,4.465e+03,3.624e+02,2.213e+02,5.049e+03
32.5,4.574e+03,6.455e+02,4.001e+02,5.619e+03
34.1,4.264e+03,3.307e+02,1.772e+02,4.772e+03
35.6,4.466e+03,1.445e+02,1.160e+02,4.726e+03
37.2,4.586e+03,1.259e+02,1.717e+02,4.883e+03
38.7,4.705e+03,1.042e+02,1.176e+02,4.926e+03
40.3,4.842e+03,6.058e+01,9.388e+01,4.996e+03
41.8,4.984e+03,4.230e+01,1.043e+02,5.130e+03
43.3,5.490e+03,6.156e+01,1.218e+02,5.673e+03
44.9,6.186e+03,8.092e+01,1.643e+02,6.432e+03
46.4,6.651e+03,8.814e+01,2.360e+02,6.976e+03
48.0,6.977e+03,9.205e+01,3.992e+02,7.468e+03
49.5,7.378e+03,1.061e+02,1.032e+03,8.516e+03
51.1,7.021e+03,7.533e+01,1.430e+03,8.527e+03
52.6,6.262e+03,3.217e+01,1.389e+03,7.683e+03
54.2,5.580e+03,7.082e+01,1.271e+03,6.922e+03
55.7,5.503e+03,4.147e+02,4.042e+02,6.322e+03
57.3,6.001e+03,7.966e+02,5.811e+02,7.379e+03
58.8,6.768e+03,1.239e+03,4.957e+02,8.503e+03
60.4,7.720e+03,3.401e+03,7.287e+02,1.185e+04
61.9,8.162e+03,6.174e+03,2.529e+03,1.687e+04
63.5,7.118e+03,5.078e+03,3.593e+03,1.579e+04
65.0,6.811e+03,2.218e+03,2.515e+03,1.154e+04
66.6,7.384e+03,5.185e+02,1.058e+03,8.961e+03
68.1,8.112e+03,2.342e+02,7.557e+02,9.102e+03
69.7,8.518e+03,3.919e+02,1.581e+03,1.049e+04
71.2,8.723e+03,6.464e+02,3.198e+03,1.257e+04
72.8,7.415e+03,1.391e+03,3.808e+03,1.261e+04
74.3,5.690e+03,2.116e+03,2.344e+03,1.015e+04
75.9,5.039e+03,1.959e+03,8.359e+02,7.834e+03
77.4,5.178e+03,1.641e+03,2.597e+02,7.079e+03
79.0,5.366e+03,1.744e+03,1.377e+02,7.248e+03
80.5,5.573e+03,1.867e+03,1.179e+02,7.558e+03
82.0,6.164e+03,1.862e+03,1.807e+02,8.207e+03
83.6,7.029e+03,2.066e+03,3.406e+02,9.435e+03
85.1,8.229e+03,2.797e+03,7.063e+02,1.173e+04
