freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.141e+01,1.569e+02,8.875e+01,2.570e+02
1.5,1.616e+01,9.709e+01,6.626e+01,1.795e+02
3.1,1.436e+01,1.321e+01,2.743e+01,5.500e+01
4.6,2.030e+01,1.440e+01,2.563e+02,2.910e+02
6.2,2.492e+01,1.843e+01,9.821e+02,1.025e+03
7.7,1.905e+01,1.834e+01,1.778e+03,1.816e+03
9.3,2.193e+01,1.995e+01,2.749e+03,2.791e+03
10.8,2.445e+01,2.762e+01,4.340e+03,4.392e+03
12.4,3.905e+01,6.733e+01,7.117e+03,7.223e+03
13.9,9.814e+01,1.414e+02,4.904e+03,5.144e+03
15.5,2.382e+02,1.694e+02,3.175e+03,3.583e+03
17.0,2.521e+02,2.812e+02,4.659e+03,5.192e+03
18.6,7.581e+01,3.445e+02,6.353e+03,6.773e+03
20.1,1.324e+02,2.461e+02,8.636e+03,9.014e+03
21.7,2.891e+02,2.576e+02,1.094e+04,1.149e+04
23.2,4.879e+02,4.872e+02,1.572e+04,1.670e+04
24.8,5.062e+02,1.505e+03,2.464e+04,2.665e+04
26.3,2.381e+02,2.102e+03,3.037e+04,3.271e+04
27.9,1.241e+02,1.454e+03,1.725e+04,1.883e+04
29.4,1.662e+02,2.666e+03,8.860e+03,1.169e+04
31.0,4.296e+02,9.062e+03,1.013e+04,1.963e+04
32.5,3.715e+02,1.562e+04,1.032e+04,2.631e+04
34.1,1.976e+02,2.551e+04,1.379e+04,3.950e+04
35.6,2.762e+02,7.078e+04,2.702e+04,9.807e+04
37.2,7.734e+02,1.842e+05,4.501e+04,2.300e+05
38.7,3.025e+03,2.302e+05,4.922e+04,2.825e+05
40.3,2.984e+03,1.657e+05,4.538e+04,2.141e+05
41.8,1.352e+03,1.935e+05,3.817e+04,2.331e+05
43.4,2.999e+03,3.163e+05,2.880e+04,3.481e+05
44.9,4.783e+03,3.688e+05,3.231e+04,4.059e+05
46.5,6.223e+03,4.366e+05,6.719e+04,5.100e+05
48.0,5.994e+03,4.755e+05,9.536e+04,5.769e+05
49.6,1.625e+04,3.857e+05,1.136e+05,5.155e+05
51.1,3.299e+04,2.885e+05,1.437e+05,4.652e+05
52.7,3.730e+04,2.554e+05,1.433e+05,4.361e+05
54.2,3.823e+04,2.613e+05,1.207e+05,4.202e+05
55.8,3.566e+04,2.682e+05,9.326e+04,3.971e+05
57.3,2.396e+04,2.239e+05,7.008e+04,3.179e+05
58.9,1.619e+04,2.012e+05,4.946e+04,2.668e+05
60.4,7.603e+03,1.502e+05,3.642e+04,1.942e+05
62.0,5.132e+03,1.330e+05,2.374e+04,1.619e+05
63.5,1.609e+04,1.420e+05,3.304e+04,1.912e+05
65.1,2.656e+04,1.095e+05,5.317e+04,1.892e+05
66.6,3.437e+04,6.557e+04,6.402e+04,1.640e+05
68.2,3.094e+04,3.661e+04,5.620e+04,1.237e+05
69.7,2.523e+04,2.157e+04,4.988e+04,9.668e+04
71.3,3.080e+04,1.332e+04,4.389e+04,8.801e+04
72.8,3.015e+04,9.757e+03,3.097e+04,7.088e+04
74.4,1.893e+04,7.204e+03,1.889e+04,4.503e+04
75.9,7.642e+03,5.463e+03,1.349e+04,2.660e+04
77.5,2.979e+03,4.909e+03,1.134e+04,1.923e+04
79.0,1.386e+03,4.620e+03,9.612e+03,1.562e+04
80.6,6.425e+02,3.744e+03,8.409e+03,1.280e+04
82.1,3.989e+02,2.936e+03,7.652e+03,1.099e+04
83.7,5.157e+02,2.609e+03,6.989e+03,1.011e+04
85.2,9.539e+02,2.697e+03,6.415e+03,1.007e+04
86.8,1.546e+03,2.808e+03,5.830e+03,1.018e+04
88.3,1.954e+03,2.597e+03,5.495e+03,1.005e+04
89.9,1.804e+03,2.553e+03,5.158e+03,9.515e+03
91.4,1.248e+03,3.328e+03,4.780e+03,9.356e+03
93.0,7.757e+02,4.687e+03,4.353e+03,9.815e+03
94.5,5.528e+02,6.535e+03,3.957e+03,1.104e+04
96.1,7.370e+02,9.812e+03,3.572e+03,1.412e+04
97.6,1.132e+03,1.183e+04,3.462e+03,1.643e+04
99.2,1.003e+03,9.314e+03,3.382e+03,1.370e+04
100.7,7.252e+02,5.198e+03,3.112e+03,9.035e+03
102.3,6.791e+02,2.829e+03,2.798e+03,6.306e+03
103.8,7.164e+02,2.199e+03,2.497e+03,5.413e+03
105.4,7.699e+02,2.271e+03,2.262e+03,5.303e+03
106.9,7.940e+02,2.361e+03,2.114e+03,5.269e+03
108.5,8.213e+02,2.562e+03,1.973e+03,5.356e+03
110.0,8.156e+02,3.445e+03,1.821e+03,6.081e+03
111.6,7.606e+02,4.357e+03,1.681e+03,6.799e+03
113.1,7.229e+02,4.695e+03,1.551e+03,6.968e+03
114.7,5.744e+02,3.751e+03,1.405e+03,5.730e+03
116.2,4.866e+02,2.999e+03,1.228e+03,4.714e+03
117.8,4.117e+02,2.600e+03,1.046e+03,4.059e+03
119.3,3.061e+02,1.849e+03,9.310e+02,3.086e+03
120.9,1.865e+02,1.011e+03,8.200e+02,2.018e+03
122.4,1.367e+02,8.040e+02,7.341e+02,1.675e+03
124.0,1.259e+02,1.089e+03,7.324e+02,1.947e+03
125.5,1.416e+02,1.438e+03,7.263e+02,2.306e+03
127.1,2.249e+02,1.991e+03,6.588e+02,2.875e+03
128.6,3.861e+02,2.970e+03,6.117e+02,3.967e+03
130.2,4.195e+02,3.612e+03,5.802e+02,4.612e+03
131.7,2.885e+02,4.001e+03,5.310e+02,4.820e+03
133.3,2.144e+02,3.377e+03,2.647e+02,3.856e+03
134.8,1.338e+02,2.230e+03,1.030e+02,2.467e+03
136.4,9.630e+01,1.357e+03,9.431e+01,1.548e+03
137.9,7.366e+01,9.206e+02,1.066e+02,1.101e+03
139.5,6.693e+01,9.726e+02,1.514e+02,1.191e+03
141.0,6.999e+01,1.460e+03,2.120e+02,1.742e+03
142.6,7.307e+01,2.140e+03,2.173e+02,2.430e+03
144.1,7.759e+01,2.620e+03,1.674e+02,2.865e+03
145.7,8.072e+01,2.872e+03,9.047e+01,3.043e+03
147.2,6.115e+01,3.173e+03,3.720e+01,3.271e+03
148.8,4.844e+01,3.171e+03,3.455e+01,3.254e+03
150.3,5.849e+01,2.299e+03,5.368e+01,2.411e+03
151.9,6.072e+01,1.503e+03,6.576e+01,1.629e+03
153.4,5.539e+01,9.697e+02,7.222e+01,1.097e+03
155.0,5.776e+01,7.955e+02,6.689e+01,9.201e+02
156.5,6.245e+01,8.031e+02,6.218e+01,9.277e+02
158.1,7.573e+01,7.224e+02,7.142e+01,8.696e+02
159.6,8.557e+01,5.918e+02,8.110e+01,7.585e+02
161.2,9.712e+01,5.537e+02,7.933e+01,7.301e+02
162.7,1.040e+02,4.922e+02,7.264e+01,6.689e+02
164.3,5.768e+01,4.097e+02,6.767e+01,5.351e+02
165.8,5.122e+01,3.558e+02,6.949e+01,4.765e+02
167.4,4.957e+01,2.639e+02,7.560e+01,3.891e+02
168.9,5.048e+01,2.027e+02,7.393e+01,3.271e+02
170.4,6.224e+01,2.346e+02,7.091e+01,3.677e+02
172.0,7.315e+01,2.079e+02,6.192e+01,3.429e+02
173.5,9.983e+01,2.085e+02,4.987e+01,3.582e+02
175.1,7.896e+01,3.580e+02,5.766e+01,4.946e+02
176.6,4.905e+01,4.408e+02,5.964e+01,5.495e+02
178.2,3.562e+01,4.424e+02,4.790e+01,5.259e+02
179.7,2.762e+01,3.556e+02,3.668e+01,4.199e+02
181.3,3.765e+01,1.788e+02,3.036e+01,2.468e+02
182.8,3.592e+01,9.863e+01,3.343e+01,1.680e+02
184.4,1.955e+01,1.669e+02,3.260e+01,2.191e+02
185.9,1.902e+01,1.950e+02,2.788e+01,2.419e+02
187.5,2.248e+01,2.404e+02,2.673e+01,2.896e+02
189.0,2.707e+01,2.854e+02,3.334e+01,3.459e+02
190.6,3.182e+01,2.310e+02,4.968e+01,3.125e+02
192.1,4.904e+01,1.111e+02,6.667e+01,2.268e+02
193.7,5.796e+01,8.922e+01,6.395e+01,2.111e+02
195.2,5.502e+01,1.539e+02,4.850e+01,2.575e+02
196.8,4.725e+01,1.807e+02,3.854e+01,2.665e+02
198.3,4.254e+01,1.664e+02,3.275e+01,2.416e+02
199.9,4.540e+01,2.035e+02,3.589e+01,2.847e+02
